name,length
T1044_A_7_15,9
T1044_A_74_78,5
T1044_A_85_89,5
T1044_A_93_105,13
T1044_A_126_139,14
T1044_A_194_200,7
T1044_A_248_253,6
T1044_A_257_262,6
T1044_A_280_285,6
T1044_A_351_356,6
T1044_A_366_371,6
T1044_A_389_395,7
T1044_A_417_423,7
T1044_A_445_451,7
T1044_A_495_504,10
T1044_A_509_513,5
T1044_A_523_531,9
T1044_A_582_585,4
T1044_A_587_591,5
T1044_A_629_634,6
T1044_A_651_655,5
T1044_A_675_681,7
T1044_A_728_738,11
T1044_A_750_755,6
T1044_A_775_779,5
T1044_A_781_788,8
T1044_A_825_829,5
T1044_A_843_850,8
T1044_A_878_881,4
T1044_A_927_930,4
T1044_A_939_944,6
T1044_A_960_963,4
T1044_A_979_983,5
T1044_A_995_1001,7
T1044_A_1007_1010,4
T1044_A_1076_1080,5
T1044_A_1082_1088,7
T1044_A_1102_1108,7
T1044_A_1113_1116,4
T1044_A_1125_1129,5
T1044_A_1167_1175,9
T1044_A_1190_1193,4
T1044_A_1202_1205,4
T1044_A_1209_1212,4
T1044_A_1242_1248,7
T1044_A_1250_1256,7
T1044_A_1259_1268,10
T1044_A_1273_1277,5
T1044_A_1296_1303,8
T1044_A_1322_1327,6
T1044_A_1340_1346,7
T1044_A_1359_1366,8
T1044_A_1405_1408,4
T1044_A_1416_1421,6
T1044_A_1435_1442,8
T1044_A_1449_1457,9
T1044_A_1462_1467,6
T1044_A_1499_1504,6
T1044_A_1515_1529,15
T1044_A_1560_1565,6
T1044_A_1568_1576,9
T1044_A_1584_1587,4
T1044_A_1612_1618,7
T1044_A_1623_1628,6
T1044_A_1665_1677,13
T1044_A_1691_1703,13
T1044_A_1712_1718,7
T1044_A_1749_1753,5
T1044_A_1773_1778,6
T1044_A_1813_1821,9
T1044_A_1843_1848,6
T1044_A_1871_1874,4
T1044_A_1897_1900,4
T1044_A_1909_1912,4
T1044_A_1915_1921,7
T1044_A_1955_1963,9
T1044_A_2006_2014,9
